,id,districtr_id
383,c1561-1,30860-1
384,c1581-1,30887-1
385,c1594-1,30995-1
386,c1595-1,31007-1
387,c1596-1,31008-1
388,c1598-1,31010-1
389,c1600-1,31011-1
390,c1601-1,31012-1
391,c1603-1,31016-1
392,c1604-1,31017-1
393,c1605-1,31018-1
394,c1609-1,31019-1
395,c1606-1,31020-1
396,c1607-1,31021-1
397,c1611-1,31024-1
398,c1610-1,31025-1
399,c1614-1,31026-1
400,c1612-1,31027-1
401,c1613-1,31029-1
402,c1615-1,31030-1
403,c1617-1,31031-1
404,c1616-1,31032-1
405,c1620-1,31033-1
406,c1618-1,31034-1
407,c1619-1,31035-1
408,c1621-1,31037-1
409,c1622-1,31038-1
410,c1623-1,31039-1
411,c1624-1,31042-1
412,c1625-1,31043-1
413,c1626-1,31044-1
414,c1627-1,31045-1
415,c1628-1,31047-1
416,c1630-1,31054-1
417,c1631-1,31057-1
418,c1632-1,31058-1
419,c1633-1,31059-1
420,c1634-1,31065-1
421,c1635-1,31069-1
422,c1636-1,31070-1
423,c1637-1,31071-1
424,c1638-1,31072-1
425,c1641-1,31085-1
426,c1642-1,31085-1
427,c1644-1,31087-1
428,c1645-1,31093-1
429,c1683-1,31336-1
430,c1684-1,31347-1
431,c1685-1,31351-1
432,c1688-1,31367-1
433,c1689-1,31372-1
434,c1690-1,31374-1
435,c1691-1,31382-1
436,c1692-1,31384-1
437,c1701-1,31420-1
438,c1703-1,31422-1
439,c1706-1,31434-1
440,c1710-1,31451-1
441,c1711-1,31453-1
442,c1712-1,31454-1
443,c1714-1,31457-1
444,c1715-1,31459-1
445,c1717-1,31461-1
446,c1718-1,31462-1
447,c1719-1,31464-1
448,c1720-1,31465-1
449,c1721-1,31467-1
450,c1722-1,31468-1
451,c1724-1,31477-1
452,c1726-1,31489-1
453,c1727-1,31496-1
454,c1728-1,31502-1
455,c1729-1,31503-1
456,c1730-1,31504-1
457,c1732-1,31507-1
458,c1731-1,31508-1
459,c1733-1,31510-1
460,c1734-1,31515-1
461,c1735-1,31516-1
462,c1737-1,31517-1
463,c1739-1,31520-1
464,c1740-1,31522-1
465,c1741-1,31524-1
466,c1742-1,31525-1
467,c1743-1,31528-1
468,c1744-1,31529-1
469,c1747-1,31552-1
470,c1747-2,31552-2
471,c1749-1,31553-1
472,c1749-2,31553-2
473,c1750-1,31554-1
474,c1750-2,31554-2
475,c1751-1,31555-1
476,c1751-2,31555-2
477,c1752-1,31556-1
478,c1752-2,31556-2
479,c1753-1,31557-1
480,c1753-2,31557-2
481,c1756-1,31559-1
482,c1756-2,31559-2
483,c1757-1,31560-1
484,c1757-2,31560-2
485,c1760-1,31613-1
486,c1761-1,31638-1
487,c1762-1,31642-1
488,c1763-1,31643-1
489,c1764-1,31647-1
490,c1768-1,31682-1
491,c1772-1,31708-1
492,c1773-1,31711-1
493,c1776-1,31714-1
494,c1785-1,31731-1
495,c1781-1,31735-1
496,c1782-1,31738-1
497,c1783-1,31739-1
498,c1796-1,31744-1
499,c1789-1,31745-1
500,c1794-1,31753-1
501,c1790-1,31755-1
502,c1791-1,31756-1
503,c1795-1,31757-1
504,c1792-1,31758-1
505,c1798-1,31760-1
506,c1987-1,31761-1
507,c1799-1,31762-1
508,c1988-1,31766-1
509,c1800-1,31767-1
510,c1801-1,31770-1
511,c1802-1,31774-1
512,c1805-1,31778-1
513,c1806-1,31780-1
514,c1990-1,31782 -1
515,c1809-1,31793-1
516,c1810-1,31797-1
517,c1812-1,31805-1
518,c1813-1,31814-1
519,c1815-1,31817-1
520,c1816-1,31823-1
521,c1817-1,31828-1
522,c1826-1,31862-1
523,c1825-1,31874-1
524,c1838-1,31903-1
525,c1848-1,31905-1
526,c1839-1,31906-1
527,c1840-1,31911-1
528,c1841-1,31912-1
529,c1844-1,31919-1
530,c1845-1,31920-1
531,c1846-1,31924-1
532,c1847-1,31926-1
533,c1851-1,31933-1
534,c1852-1,31934-1
535,c1854-1,31936-1
536,c1856-1,31938-1
537,c1857-1,31940-1
538,c1860-1,31954-1
539,c1861-1,31957-1
540,c1863-1,31959-1
541,c1864-1,31963-1
542,c1865-1,31975-1
543,c1868-1,32037-1
544,c1886-1,32131-1
545,c1888-1,32136-1
546,c1890-1,32140-1
547,c1891-1,32142-1
548,c1897-1,32154-1
549,c1899-1,32168-1
550,c1901-1,32171-1
551,c1902-1,32187-1
552,c1903-1,32203-1
553,c1909-1,32213-1
554,c1911-1,32224-1
555,c1912-1,32228-1
556,c1913-1,32236-1
557,c1914-1,32238-1
558,c1915-1,32243-1
559,c1916-1,32251-1
560,c1917-1,32255-1
561,c1920-1,32266-1
562,c1923-1,32280-1
563,c1924-1,32281-1
564,c1926-1,32285-1
565,c1925-1,32286-1
566,c1927-1,32294-1
567,c1928-1,32295-1
568,c1931-1,32302-1
569,c1930-1,32308-1
570,c1932-1,32315-1
571,c1938-1,32324-1
572,c1945-1,32355-1
573,c1947-1,32357-1
574,c1948-1,32363-1
575,c1950-1,32368-1
576,c2611-1,32372-1
577,c1952-1,32372-1
578,c1968-1,32466-1
579,c1968-2,32466-2
580,c1968-3,32466-3
581,c1968-5,32466-5
582,c1975-1,32486-1
583,c1976-1,32486-1
584,c1973-1,32501-1
585,c1971-1,32503-1
586,c1977-1,32515-1
587,c1978-1,32518-1
588,c1978-2,32518-2
589,c1978-3,32518-3
590,c1982-1,32519-1
591,c1980-1,32542-1
592,c1981-1,32544-1
593,c1983-1,32555-1
594,c2006-1,32631-1
595,c2008-1,32635-1
596,c2010-1,32649-1
597,c2012-1,32654 -1
598,c2015-1,32656-1
599,c2013-1,32657-1
600,c2017-1,32668-1
601,c2018-1,32694-1
602,c2019-1,32697-1
603,c2020-1,32702-1
604,c2021-1,32704-1
605,c2022-2,32705-2
606,c2022-3,32705-3
607,c2022-1,32705-1
608,c2023-1,32711-1
609,c2025-1,32722-1
610,c2029-1,32726-1
611,c2026-1,32728-1
612,c2031-1,32732-1
613,c2037-1,32744-1
614,c2041-1,32773-1
615,c2046-1,32783-1
616,c2047-1,32784-1
617,c2048-1,32785-1
618,c2051-1,32789-1
619,c2052-1,32790-1
620,c2054-1,32792-1
621,c2053-1,32793-1
622,c2056-1,32794-1
623,c2072-1,32795-1
624,c2055-1,32797-1
625,c2060-1,32798-1
626,c2058-1,32799-1
627,c2059-1,32801-1
628,c2061-1,32803-1
629,c2062-1,32805-1
630,c2063-1,32806-1
631,c2064-1,32808-1
632,c2065-1,32809-1
633,c2067-1,32810-1
634,c2070-1,32812-1
635,c2066-1,32813-1
636,c2068-1,32815-1
